Symbol,Current_Price,Momentum_Buy_Signal,Momentum_Sell_Signal,RSI,MACD,MACD_Signal,MACD_Histogram,ROC_5,ROC_20,Price_vs_SMA10,Price_vs_SMA20,Price_vs_SMA50,Volume_Momentum
AMD,126.38999938964844,1.0,0.0,64.87303198132264,4.262177410734168,4.121365274468859,0.14081213626530875,3.828140889022169,7.868909588450257,5.77188500614596,8.859766851351702,20.892995122777446,2.5868803225334536
ORCL,211.10000610351562,0.9,0.0,88.66531502054336,12.979370733785373,8.705716263487473,4.273654470297901,19.164557367622347,31.53467435858943,14.753833611159116,22.349862352701532,37.33046999355511,1.6043560894293694
FANG,151.02999877929688,0.9,0.0,66.96740623973426,3.3648547847421924,1.7955654471208304,1.569289337621362,6.261868423787442,7.014804473864267,4.048829385993047,7.059943621424547,10.828679188142697,1.619304604531363
PLTR,141.41000366210938,0.8,0.0,68.08511355119735,5.795520122852906,5.364930514812359,0.43058960804054713,7.080119851862876,9.180048639155691,6.638416153173954,9.728185538862743,22.686775198582044,0.9348167384917763
WBD,10.760000228881836,0.8,0.0,66.85236302624409,0.32724113790247955,0.26453898658767294,0.06270215131480661,12.906616268363358,17.467253363784273,7.385233051641538,10.342001165093407,19.47856043450105,0.9659867588944453
MU,119.83999633789062,0.8,0.0,89.49494186633457,7.704041023095229,6.42096629820447,1.283074724890759,8.012617966808588,22.28571054886799,7.664247772940103,15.459464840831828,35.483458600161796,1.1771820297455444
LRCX,93.41000366210938,0.8,0.0,72.99657326135997,3.667106511308873,3.2221939310726007,0.44491258023627234,5.787089958939506,10.636033784762521,5.604109510503008,8.969800784522587,21.1364375826983,1.2003519984987996
KLAC,892.3800048828125,0.8,0.0,78.33168589091935,38.073199256664,30.220378508393445,7.8528207482705525,7.607716061581127,13.063977068529088,6.862898149656171,10.913422640382864,21.700493125277266,1.3327298164760102
SOFI,14.899999618530273,0.8,0.0,66.44879671836247,0.4617745278917269,0.3837539839217804,0.07802054396994651,5.673753300829043,7.040226557938656,4.583418197539735,8.20624246602919,16.712617696874975,1.077285401062742
HIMS,59.779998779296875,0.8,0.2,63.53287908632537,2.6291563329524408,3.0887731357883146,-0.4596168028358738,5.1354170552254885,-7.532873366805115,6.84157549832074,6.57395953253157,32.51815208957816,1.0907056074995782
AMAT,176.5500030517578,0.7,0.0,70.63935377421464,4.510107592428113,3.6036810556997008,0.9064265367284126,3.9813946833915814,6.934842780920447,4.2767977092953435,6.982510183807844,13.46528883128304,1.0028870969549157
F,10.619999885559082,0.7,0.0,57.27698563577865,0.09815713033093942,0.08679142148270975,0.01136570884822967,2.707927745060168,-1.6666694629339007,2.1448481127581687,2.2235046607699704,5.667896518179694,0.7630952123019207
ON,53.880001068115234,0.7,0.0,72.92213694498108,3.0404904776953714,2.4848648936566677,0.5556255840387037,2.8636883723033746,19.94657895013956,4.9883113571982385,14.36212817996596,28.253348201232754,0.7888092310107538
SBUX,93.4800033569336,0.7,0.0,66.94603795271777,2.2760118183862375,1.4099368168616107,0.8660750015246268,3.0991565509380425,9.243898200677236,2.7376973256544312,6.369908495057142,10.166266989498517,0.6567448343288165
NXPI,217.52999877929688,0.7,0.0,66.61908902472821,5.648606930062073,4.610061085043929,1.0385458450181435,2.0884160456176692,2.3381639432570545,2.6762955344691974,5.905807607328684,13.021619929148297,0.6518940011582729
