Symbol,Current_Price,Momentum_Buy_Signal,Momentum_Sell_Signal,RSI,MACD,MACD_Signal,MACD_Histogram,ROC_5,ROC_20,Price_vs_SMA10,Price_vs_SMA20,Price_vs_SMA50,Volume_Momentum
MRNA,26.0,0.0,1.0,45.86956345967377,0.12257034251348742,0.14745481744295982,-0.024884474929472405,-7.60483097393263,4.585677239178132,-4.499540863177232,-3.4820692959843247,-1.037205916823214,0.8225715337853862
MAR,257.9100036621094,0.0,0.9999999999999999,39.024395231376396,1.8299126871993394,3.456593857318839,-1.6266811701194994,-3.015827185559228,-5.363771655474292,-1.8581153670776396,-2.0115673481518326,3.7075555253375025,1.5088381859779985
COST,984.3599853515625,0.0,0.8999999999999999,38.99967423818531,-1.9183912482221785,4.7348670420143915,-6.65325829023657,-2.1685988076737384,-4.042577471866515,-2.7364164867979546,-3.4009765814292936,-1.2283777350046932,0.9958265270473151
LULU,241.2899932861328,0.0,0.8,17.77561293296776,-14.170984311986047,-4.399591470940549,-9.771392841045497,-6.852229259292553,-24.934671648368845,-12.683652812090351,-18.98548320804695,-14.889971883764119,0.9985733100713893
ORLY,88.12000274658203,0.0,0.8,39.482351223873515,-0.4150650513063141,-0.1901073034371727,-0.2249577478691414,-1.9508945678384793,-4.332464268376491,-2.796528965217393,-3.1550064112911502,-3.4685844128847343,1.115011107408126
KO,70.5199966430664,0.0,0.8,43.97795393162205,0.08682388074082326,0.11336135047416436,-0.026537469733341104,-1.0430565406490455,-1.3591718487659055,-0.77572769463784,-0.854242683743689,-0.6225760241625689,1.1200070270747084
ADBE,401.7300109863281,0.0,0.7999999999999999,41.374609906748034,3.4473377300126913,6.385930996564031,-2.93859326655134,-3.490606457122314,-3.6918931067571603,-2.273781048900103,-2.519806496185528,4.030878711481067,1.9757359640442385
CPRT,48.38999938964844,0.0,0.7999999999999999,11.208397412686168,-2.690952690487954,-2.4629216029660728,-0.2280310875218814,-3.5094757381457953,-24.201128956784867,-3.1347600756179927,-8.577367024800287,-15.539126269972602,1.510422393034534
AAPL,198.4199981689453,0.0,0.7,46.04854519364858,-1.6324761250229187,-1.3117192093037595,-0.3207569157191592,-1.5040947258367798,-6.077817226050886,-1.1660640718955118,-1.4086617137122337,-1.3843010459497762,0.8187327262718627
KHC,25.790000915527344,0.2,0.7,37.86502782964756,-0.4075310571665618,-0.417789933239715,0.010258876073153178,-2.6057350401702872,-5.632557780515768,-2.5542176961637186,-2.7578232730716246,-6.65941530793962,1.1177367599234924
TMUS,230.99000549316406,0.0,0.7,34.13952778171462,-3.816198221910213,-2.7433702490736716,-1.0728279728365413,-2.924980686842382,-4.457853947288282,-2.5424422248861545,-3.3999166585869656,-5.67490593063027,0.930718413211087
LCID,2.1500000953674316,0.0,0.7,21.839083924698116,-0.10664405675337463,-0.08332963765810486,-0.023314419095269767,-3.587440494251337,-24.295769001940336,-0.9672941332491969,-9.378290832664128,-11.668032617048507,0.9526645848628646
CRM,263.8800048828125,0.0,0.7,37.82251453563045,-2.8747996985925397,-1.7383609437895777,-1.136438754802962,-3.0743783717860462,-9.366302450745534,-0.9779124271058315,-2.744120460510946,-1.3532730290649608,0.8096581374478452
CDW,172.35000610351562,0.0,0.7,30.239467481189266,-0.1406042550693769,1.513375698805703,-1.65397995387508,-2.86309349149797,-8.512181387922679,-2.0543828563653554,-3.907088965549177,1.8966481887965125,1.3821689723089015
CHTR,375.2300109863281,0.0,0.7,26.566585485665698,-0.7047454223673526,2.6124947540433165,-3.317240176410669,-4.899124769838092,-12.175538680789199,-4.5036436967612055,-6.291827330199928,-1.6558311962627026,1.1889788936025656
